future_opt	future	condition	is_impossible_choice	explanation_text	written_explanation	question_choice_order	selected_answer_position	future_choice	future_text	ts_is_same_dataset_start	ts_submitted_	study_id	study	is_correct	is_possible	id
static_ani	I think the animation would definitely help explain the stats.	static	impossible	none-of-the-above	I think I would need more information for any of the above information to be entirely correct. I think there are several factors as to why Masters would average higher than PhDs and some of the above might be partially (or entirely) correct given more information. Industry is going to be more competitive and have a higher resource base to pay their employees. PhDs are more likely to be involved in acadmia (e.g. my cousin is a biologist and professor.) Also, there probably are outliers within industry where some Masters are paid very high (as well as PhDs but there are likely more Masters.) So, I think it would be a confluence of some of the above reasons that would allow for this outcome.	{'outliers-drive-up-masters':0,'more-masters-in-industry':1,'left-more-than-right':2,'many-industry-on-right':3,'mystery-work-on-left':4,'left-not-stat-sig':5,'non-grads-on-right':6,'none-of-the-above':7}	7	static_ani	I think the animation would definitely help explain the stats.	2020-09-09 19:40:38	2020-09-09 19:48:42	simpsons_multiple_choice_tibble	tibble	FALSE	FALSE	1
static_ani	Its very interesting for helpful for view in static table	static	impossible	non-grads-on-right	Its best forcompare then Phd in Masters degree	{'left-not-stat-sig':0,'non-grads-on-right':1,'many-industry-on-right':2,'outliers-drive-up-masters':3,'left-more-than-right':4,'mystery-work-on-left':5,'more-masters-in-industry':6,'none-of-the-above':7}	1	static_ani	Its very interesting for helpful for view in static table	2020-09-09 19:13:56	2020-09-09 19:29:48	simpsons_multiple_choice_tibble	tibble	FALSE	FALSE	2
just_static	the chart is increase and decease the video.	static	impossible	left-more-than-right	based on opinion	{'many-industry-on-right':0,'left-more-than-right':1,'mystery-work-on-left':2,'more-masters-in-industry':3,'non-grads-on-right':4,'left-not-stat-sig':5,'outliers-drive-up-masters':6,'none-of-the-above':7}	1	just_static	the chart is increase and decease the video.	2020-09-10 06:16:14	2020-09-10 06:17:51	simpsons_multiple_choice_sanddance	sanddance	FALSE	FALSE	3
static_ani	It show more in depth and make it easy to understand.	static	impossible	many-industry-on-right	None	{'many-industry-on-right':0,'more-masters-in-industry':1,'mystery-work-on-left':2,'outliers-drive-up-masters':3,'left-not-stat-sig':4,'left-more-than-right':5,'non-grads-on-right':6,'none-of-the-above':7}	0	static_ani	It show more in depth and make it easy to understand.	2020-09-10 09:16:28	2020-09-10 09:18:27	simpsons_multiple_choice_sanddance	sanddance	FALSE	FALSE	4
just_static	I feel like less is more. More animations just complicates things for me.	static	impossible	many-industry-on-right	None	{'outliers-drive-up-masters':0,'left-more-than-right':1,'more-masters-in-industry':2,'mystery-work-on-left':3,'non-grads-on-right':4,'many-industry-on-right':5,'left-not-stat-sig':6,'none-of-the-above':7}	5	just_static	I feel like less is more. More animations just complicates things for me.	2020-09-10 09:16:13	2020-09-10 09:19:00	simpsons_multiple_choice_sanddance	sanddance	FALSE	FALSE	5
static_ani	the animations allow you to visualize the data	stepthru	possible	more-masters-in-industry	None	{'non-grads-on-right':0,'many-industry-on-right':1,'left-not-stat-sig':2,'left-more-than-right':3,'outliers-drive-up-masters':4,'mystery-work-on-left':5,'more-masters-in-industry':6,'none-of-the-above':7}	6	static_ani	the animations allow you to visualize the data	2020-09-10 09:16:03	2020-09-10 09:19:07	simpsons_multiple_choice_tibble	tibble	TRUE	TRUE	6
static_ani	The animations make the data easier to understand, but I still like the static charts because they are easier to focus on.	static	possible	more-masters-in-industry	The left chart groups industry and academia while the right chart shows a more detailed breakdown.	{'left-more-than-right':0,'many-industry-on-right':1,'left-not-stat-sig':2,'mystery-work-on-left':3,'non-grads-on-right':4,'outliers-drive-up-masters':5,'more-masters-in-industry':6,'none-of-the-above':7}	6	static_ani	The animations make the data easier to understand, but I still like the static charts because they are easier to focus on.	2020-09-10 09:15:51	2020-09-10 09:20:47	simpsons_multiple_choice_sanddance	sanddance	TRUE	TRUE	7
static_ani	The animation kind of helps explain why the 2 static charts don't make sense at first.	static	possible	more-masters-in-industry	None	{'many-industry-on-right':0,'mystery-work-on-left':1,'outliers-drive-up-masters':2,'left-more-than-right':3,'more-masters-in-industry':4,'left-not-stat-sig':5,'non-grads-on-right':6,'none-of-the-above':7}	4	static_ani	The animation kind of helps explain why the 2 static charts don't make sense at first.	2020-09-10 09:16:26	2020-09-10 09:21:06	simpsons_multiple_choice_sanddance	sanddance	TRUE	TRUE	8
static_ani	Charts like these that are accompanied by animations seem to provide a little bit more information. If you just had the image of the final chart on the left, it may have been difficult to come up with the conclusion that most masters work in industry and that is why they seem to be higher on the left chart but not on the right. Since it shows exactly how the charts are made it gives a little bit more information and understanding to the reader.	stepthru	impossible	more-masters-in-industry	None	{'mystery-work-on-left':0,'many-industry-on-right':1,'left-more-than-right':2,'non-grads-on-right':3,'more-masters-in-industry':4,'outliers-drive-up-masters':5,'left-not-stat-sig':6,'none-of-the-above':7}	4	static_ani	Charts like these that are accompanied by animations seem to provide a little bit more information. If you just had the image of the final chart on the left, it may have been difficult to come up with the conclusion that most masters work in industry and that is why they seem to be higher on the left chart but not on the right. Since it shows exactly how the charts are made it gives a little bit more information and understanding to the reader.	2020-09-10 09:16:31	2020-09-10 09:21:18	simpsons_multiple_choice_sanddance	sanddance	TRUE	FALSE	9
just_static	Yes it is like the static charts, but the industry like wise many of the changes in it.  It seems to be very variations of it.  It gives more not interesting opinions to view the patterns according the job type and studies.  According to the animations these charts are just created.	static	possible	many-industry-on-right	none	{'left-not-stat-sig':0,'left-more-than-right':1,'outliers-drive-up-masters':2,'mystery-work-on-left':3,'many-industry-on-right':4,'more-masters-in-industry':5,'non-grads-on-right':6,'none-of-the-above':7}	4	just_static	Yes it is like the static charts, but the industry like wise many of the changes in it.  It seems to be very variations of it.  It gives more not interesting opinions to view the patterns according the job type and studies.  According to the animations these charts are just created.	2020-09-10 06:15:34	2020-09-10 06:21:25	simpsons_multiple_choice_sanddance	sanddance	FALSE	TRUE	10
